,lonbins,latbins,ubar,vbar,shape
70,-90.36470588235294,24.493750000000002,-0.032563776836394415,-0.07657607504660137,0.0
71,-90.15294117647059,24.493750000000002,-0.029756773622435492,-0.10097024741663413,0.0
72,-89.94117647058823,24.493750000000002,0.008646840445147855,-0.07429675625728578,0.0
73,-89.72941176470589,24.493750000000002,0.05743430135870963,-0.1653961742885034,0.0
74,-89.51764705882353,24.493750000000002,0.08283909580931749,-0.1140001498354487,0.0
75,-89.30588235294118,24.493750000000002,0.28983627493888203,-0.2170251454742198,0.0
76,-89.09411764705882,24.493750000000002,0.36993266301179956,-0.20118457364352715,0.0
77,-88.88235294117646,24.493750000000002,0.33653325739166745,-0.1904655812571477,0.0
78,-88.67058823529412,24.493750000000002,0.1330768874973908,0.02350224498489799,0.0
79,-88.45882352941176,24.493750000000002,0.09206000504594905,0.053315308325768675,0.0
